id;id_researcher;bibcode;years;citations;reads
78;6.0;2014A&A...567A.132W;{'2014', '2015', '2016', '2017', '2018', '2019', '2020', '2021', '2022', '2023', '2024'};{1, 7, 2, 7, 9, 7, 2, 2, 3, 2, 0};{0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 342, 255, 175, 134, 126, 114, 54, 40, 37, 38, 6}
79;6.0;2022yCat..22620036S;{'2022', '2023', '2024'};{0, 0, 0};{0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 59, 7}
80;6.0;2015MNRAS.451.1307Z;{'2016', '2017', '2018', '2019', '2020', '2021', '2022', '2023', '2024'};{1, 3, 1, 3, 2, 1, 5, 0, 0};{0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 161, 132, 84, 43, 85, 49, 41, 52, 34, 10}
81;6.0;2017MNRAS.467.2612W;{'2017', '2018', '2019', '2020', '2021', '2022', '2023', '2024'};{1, 7, 5, 3, 3, 3, 4, 0};{0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 88, 358, 148, 143, 124, 53, 43, 33, 9}
82;6.0;2015A&A...573A.105S;{'2015', '2016', '2017', '2018', '2019', '2020', '2021', '2022', '2023', '2024'};{4, 4, 1, 7, 2, 5, 4, 8, 2, 1};{0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 82, 304, 109, 73, 44, 66, 41, 37, 36, 28, 6}
83;6.0;2022ascl.soft03017W;{'2022', '2023', '2024'};{0, 0, 0};{0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 53, 48, 4}
84;6.0;2019ApJ...886L...2L;{'2021', '2022', '2023', '2024'};{1, 1, 0, 0};{0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 83, 98, 62, 48, 45, 8}
85;6.0;2015MNRAS.451.4397H;{'2015', '2016', '2017', '2018', '2019', '2020', '2021', '2022', '2023', '2024'};{1, 4, 3, 6, 8, 3, 0, 4, 2, 0};{0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 148, 124, 89, 66, 79, 55, 46, 26, 33, 1}
86;6.0;2022RNAAS...6..183B;{'2022', '2023', '2024'};{0, 0, 0};{0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 34, 34, 3}
87;6.0;2023ApJ...945..169A;{'2023', '2024'};{0, 0};{0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 35, 3}
88;6.0;2017jwst.prop.1335W;{'2017', '2018', '2019', '2020', '2021', '2022', '2023', '2024'};{0, 0, 0, 0, 0, 0, 0, 0};{0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 26, 23, 24, 22, 45, 31, 2}
89;6.0;2017ApJ...850L..17L;{'2017', '2018', '2019', '2020', '2021', '2022', '2023', '2024'};{0, 2, 2, 3, 3, 1, 0, 2};{0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 64, 102, 67, 52, 25, 29, 26, 4}
90;6.0;2017MNRAS.468.4494Z;{'2017', '2018', '2019', '2020', '2021', '2022', '2023', '2024'};{1, 4, 3, 0, 2, 0, 5, 1};{0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 221, 114, 45, 74, 26, 24, 27, 1}
91;6.0;2020yCat..51590167L;{'2020', '2021', '2022', '2023', '2024'};{0, 0, 0, 0, 0};{0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 21, 45, 32, 27, 7}
92;6.0;2021ApJ...922L..20C;{'2022', '2023', '2024'};{1, 1, 0};{0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 50, 62, 19, 4}
93;6.0;2022ascl.soft06023L;{'2022', '2023', '2024'};{0, 0, 0};{0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 25, 21, 8}
94;6.0;2016A&A...592A.105M;{'2017', '2018', '2019', '2020', '2021', '2022', '2023', '2024'};{1, 1, 3, 4, 2, 0, 3, 2};{0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 163, 129, 60, 92, 50, 31, 23, 31, 3}
